ra,dec,Source,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,Dist,prob
15.1939378069,84.77276311708,573734414440046848,0.4225,0.0533,3.867,0.057,5.903,0.065,0.0219,0,1.016,16.868599, 0.913649,NOT_AVAILABLE,0,2079.3865,0.56
15.45519325002,84.80382628507,573734753740595456,0.3348,0.1493,-0.078,0.172,5.844,0.188,0.0254,0,1.017,18.787132, 1.647867,NOT_AVAILABLE,0,1154.8638,0.76
14.94898761821,84.78311688909,573735234776924544,0.4101,0.1776,-3.465,0.22,5.699,0.233,0.0204,0,0.982,19.015236, 1.320702,NOT_AVAILABLE,0,,0.52
15.31381881869,84.8617165341,573736647822023680,1.0784,0.4945,0.721,0.588,7.642,0.685,0.0173,0,1.141,20.197147, 1.952774,NOT_AVAILABLE,0,,0.74
15.44900514549,84.91715162464,573737227641792640,0.4553,0.045,-0.894,0.051,4.557,0.055,0.0278,1,0.98,16.674185, 1.033619,NOT_AVAILABLE,0,1676.7239,0.8
14.73541336537,84.89220329819,573737678614161536,1.2292,0.5124,0.799,0.55,6.229,0.737,0.0152,0,0.955,20.201859, 1.808128,NOT_AVAILABLE,0,,0.52
14.83756914551,84.9208280024,573738090932022400,1.0833,0.0302,4.502,0.034,6.853,0.035,0.0229,1,1.009,15.782529, 1.194885,NOT_AVAILABLE,0,916.2092,0.72
14.78877792731,84.96067480499,573738331449182720,1.2066,0.5661,4.611,0.612,6.98,0.882,0.0188,0,1.068,20.500637, 2.225235,NOT_AVAILABLE,0,,0.54
13.91029037167,84.82592970502,573738675047465216,0.3801,0.3053,-1.298,0.44,5.539,0.34,0.019,1,1.054,19.723492, 2.202055,NOT_AVAILABLE,0,,0.76
14.15574523567,84.89675931968,573739151787125120,0.7366,0.2124,-1.501,0.259,7.722,0.249,0.0728,0,1.34,18.764185, 1.873161,NOT_AVAILABLE,0,664.8904,0.64
